id,Name,category,subCategory,cptCode,loincCode,snomedCode,description,notes,sourceSheet
"TTES-LAB-CHE-85247","Bleeding Time","Laboratory Tests","Clinical Chemistry","85247","2700-4","363700007","Assesses platelet function and capillary integrity","Lab Test","COAGULATION SCREEN"
"TTES-LAB-CHE-85245","Clotting Time","Laboratory Tests","Clinical Chemistry","85245","2701-2","363701006","Measures time taken for blood to clot, indicating coagulation cascade status","Lab Test","COAGULATION SCREEN"
"TTES-LAB-CHE-85613","PTI/INR","Laboratory Tests","Clinical Chemistry","85613","48834-6","363702005","Measures extrinsic pathway of coagulation, often used for warfarin monitoring","Lab Test","COAGULATION SCREEN"
"TTES-LAB-CHE-85612","PTT","Laboratory Tests","Clinical Chemistry","85612","48833-8","363703004","Measures intrinsic and common pathways of coagulation","Lab Test","COAGULATION SCREEN"
"TTES-LAB-HMT-85027","Full Haemogram","Laboratory Tests","Hematology","85027","58410-2","363690007","Complete blood count including RBC, WBC, hemoglobin, hematocrit, and platelets","Lab Test","HAEMATOLOGY"
"TTES-LAB-HMT-85031","Erythrocyte Sedimentation Rate","Laboratory Tests","Hematology","85031","26462-2","363694003","Measures inflammation by tracking how quickly red blood cells settle in plasma","Lab Test","HAEMATOLOGY"
"TTES-LAB-HMT-85018","Haemoglobin Only","Laboratory Tests","Hematology","85018","2697-2","363691006","Measures the concentration of hemoglobin in blood to detect anemia or polycythemia","Lab Test","HAEMATOLOGY"
"TTES-LAB-HMT-85097","Reticulocyte Count","Laboratory Tests","Hematology","85097","2698-0","363710000","Counts immature red blood cells to assess bone marrow activity","Lab Test","HAEMATOLOGY"
"TTES-LAB-HMT-85029","Platelet Count","Laboratory Tests","Hematology","85029","26515-7","363692005","Measures the number of platelets in the blood to evaluate clotting ability","Lab Test","HAEMATOLOGY"
"TTES-LAB-HMT-86825","Direct Coombs Test","Laboratory Tests","Hematology","86825","2699-8","363720005","Detects antibodies bound to the surface of red blood cells","Lab Test","HAEMATOLOGY"
"TTES-LAB-HMT-86826","Indirect Coombs Test","Laboratory Tests","Hematology","86826","30312-3","363721005","Identifies antibodies circulating in the blood that could react with red blood cells","Lab Test","HAEMATOLOGY"
"TTES-LAB-CHE-86140a","C-reactive Protein","Laboratory Tests","Clinical Chemistry","86140a","1988-5","363699008","Inflammatory marker used in infection and autoimmune disease","Lab Test","INFLAMMATORY MARKERS"
"TTES-LAB-CHE-84520","Procalcitonin","Laboratory Tests","Clinical Chemistry","84520","37615-5","448611000000107","Indicates bacterial infection and sepsis severity","Lab Test","INFLAMMATORY MARKERS"
"TTES-LAB-CHE-85379","Quantitative D-Dimer","Laboratory Tests","Clinical Chemistry","85379","48065-7","448621000000109","Elevated in clot formation and breakdown, used to rule out thromboembolic events","Lab Test","INFLAMMATORY MARKERS"
"TTES-LAB-CHE-86150","Anti-Phospholipid AB","Laboratory Tests","Clinical Chemistry","86150","34571-9","363704003","Associated with antiphospholipid syndrome and recurrent miscarriages","Lab Test","INFLAMMATORY MARKERS"
"TTES-LAB-CHE-85455","DIC Screen","Laboratory Tests","Clinical Chemistry","85455","59022-3","448631000000101","Panel assessing disseminated intravascular coagulation","Lab Test","INFLAMMATORY MARKERS"
"TTES-LAB-CHE-84443","Urea/Electrolyte/Creatinine","Laboratory Tests","Clinical Chemistry","84443","59020-7","363695002","Assesses kidney function and electrolyte balance","Lab Test","UECs and uric acid"
"TTES-LAB-CHE-84500","Urea","Laboratory Tests","Clinical Chemistry","84500","3098-0","363696001","Measures urea nitrogen levels to evaluate kidney function","Lab Test","UECs and uric acid"
"TTES-LAB-CHE-82569","Creatinine","Laboratory Tests","Clinical Chemistry","82569","2160-0","363697000","Reflects kidney filtration rate","Lab Test","UECs and uric acid"
"TTES-LAB-CHE-82570","Creatinine Clearance","Laboratory Tests","Clinical Chemistry","82570","33914-0","363698009","Estimates glomerular filtration rate via urine and serum creatinine","Lab Test","UECs and uric acid"
"TTES-LAB-CHE-84295","Sodium","Laboratory Tests","Clinical Chemistry","84295","2955-3","363699008","Essential electrolyte regulating fluid balance","Lab Test","UECs and uric acid"
