id,Name,category,subCategory,cptCode,loincCode,snomedCode,description,notes,sourceSheet
"TTES-IMG-XRAY-70250","X-RAY Brain Without Contrast","Imaging Studies","Radiography","70250","24696-8","363725005","Skull X-ray to assess facial bones or head injury","imaging","XRAY"
"TTES-IMG-XRAY-72010a","X-RAY Cervical Spine Without Contrast","Imaging Studies","Radiography","72010a","24725-1","363706005","X-ray of cervical spine to detect alignment issues or degeneration","imaging","XRAY"
"TTES-IMG-XRAY-72030","X-RAY Thoracic Spine Without Contrast","Imaging Studies","Radiography","72030","24726-9","363707001","X-ray of thoracic spine to evaluate posture and vertebral health","imaging","XRAY"
"TTES-IMG-XRAY-72080","X-RAY Lumbar Spine Without Contrast","Imaging Studies","Radiography","72080","24725-1","363706005","X-ray of lumbar spine to assess disc space and nerve compression","imaging","XRAY"
"TTES-IMG-XRAY-72100a","X-RAY Sacrococcygeal Without Contrast","Imaging Studies","Radiography","72100a","24732-2","363717005","Pelvic X-ray to evaluate sacroiliac joints and coccyx","imaging","XRAY"
"TTES-IMG-XRAY-71010b","X-RAY Chest Without Contrast","Imaging Studies","Radiography","71010b","24698-4","16905004","Radiographic imaging of the chest in posteroanterior projection","imaging","XRAY"
"TTES-IMG-XRAY-74022","X-RAY Abdomen Without Contrast","Imaging Studies","Radiography","74022","24713-1","428600005","Radiographic imaging of abdomen in anterior-posterior and lateral views","imaging","XRAY"
"TTES-IMG-XRAY-72100b","X-RAY Pelvis Without Contrast","Imaging Studies","Radiography","72100b","24732-2","363717005","Hip joint imaging to evaluate dysplasia or degenerative disease","imaging","XRAY"
"TTES-IMG-XRAY-73020a","X-RAY Shoulder Left With Contrast","Imaging Studies","Radiography","73020a","24727-2","363717005","Shoulder imaging to detect dislocation or arthritis","imaging","XRAY"
"TTES-IMG-XRAY-73020b","X-RAY Shoulder Right With Contrast","Imaging Studies","Radiography","73020b","24727-2","363717005","Shoulder imaging to detect dislocation or arthritis","imaging","XRAY"
"TTES-IMG-XRAY-73020c","X-RAY Shoulder Left Without Contrast","Imaging Studies","Radiography","73020c","24727-2","363717005","Shoulder imaging to detect dislocation or arthritis","imaging","XRAY"
"TTES-IMG-XRAY-73020d","X-RAY Shoulder Right Without Contrast","Imaging Studies","Radiography","73020d","24727-2","363717005","Shoulder imaging to detect dislocation or arthritis","imaging","XRAY"
"TTES-IMG-MAM-77057","Mammogram Screening","Imaging Studies","Mammography","77057","26083-1","363686007","Screening mammography for breast cancer detection","imaging","MAMMOGRAPHY"
"TTES-IMG-MAM-77059","Mammogram Diagnostic","Imaging Studies","Mammography","77059","26084-9","363687003","Diagnostic mammography for abnormal findings or symptoms","imaging","MAMMOGRAPHY"
"TTES-IMG-US-76810","Ultrasound Brain","Imaging Studies","Ultrasound","76810","18855-8","363681002","Cardiac ultrasound to evaluate heart structure and function","imaging","ULTRASOUND"
"TTES-IMG-US-76410","Ultrasound Cervical Spine Without Contrast","Imaging Studies","Ultrasound","76410","11940-1","363681002","Not commonly used for cervical spine imaging","imaging","ULTRASOUND"
"TTES-IMG-US-76415","Ultrasound Thoracic Spine Without Contrast","Imaging Studies","Ultrasound","76415","11939-3","363681002","Not commonly used for thoracic spine imaging","imaging","ULTRASOUND"
"TTES-IMG-US-76420","Ultrasound Lumbar Spine Without Contrast","Imaging Studies","Ultrasound","76420","11941-9","363681002","Limited use for chest imaging; usually for pleural effusion","imaging","ULTRASOUND"
"TTES-IMG-US-76425","Ultrasound Sacrococcygeal Without Contrast","Imaging Studies","Ultrasound","76425","11942-7","363681002","Not typically used for sacrococcygeal imaging","imaging","ULTRASOUND"
"TTES-IMG-US-76310","Ultrasound Chest Without Contrast","Imaging Studies","Ultrasound","76310","18855-8","363681002","Limited use for chest imaging; usually for pleural effusion","imaging","ULTRASOUND"
"TTES-IMG-US-76700","Ultrasound Abdomen Without Contrast","Imaging Studies","Ultrasound","76700","18842-5","363679005","Ultrasound imaging of abdominal organs including liver gallbladder spleen kidneys","imaging","ULTRASOUND"
"TTES-IMG-US-76856e","Ultrasound Pelvis Without Contrast","Imaging Studies","Ultrasound","76856e","18843-3","363680001","Pelvic ultrasound for evaluation of uterus ovaries and bladder","imaging","ULTRASOUND"
"TTES-IMG-US-76886f","Ultrasound Shoulder Left With Contrast","Imaging Studies","Ultrasound","76886f","18853-4","363709006","Musculoskeletal ultrasound to assess joint and tendon pathology","imaging","ULTRASOUND"
"TTES-IMG-US-76886g","Ultrasound Shoulder Right With Contrast","Imaging Studies","Ultrasound","76886g","18853-4","363709006","Musculoskeletal ultrasound to assess joint and tendon pathology","imaging","ULTRASOUND"
"TTES-IMG-US-76886h","Ultrasound Shoulder Left Without Contrast","Imaging Studies","Ultrasound","76886h","18853-4","363709006","Musculoskeletal ultrasound to assess joint and tendon pathology","imaging","ULTRASOUND"
"TTES-IMG-DOP-76811","Doppler Ultrasound Brain","Imaging Studies","Doppler Ultrasound","76811","18855-8","363681002","Used to assess cerebral blood flow","imaging","DOPPLER"
"TTES-IMG-DOP-93971","Doppler Ultrasound Cervical Spine Without Contrast","Imaging Studies","Doppler Ultrasound","93971","18849-1","363689000","Not typically used for cervical spine imaging","imaging","DOPPLER"
"TTES-IMG-DOP-93972","Doppler Ultrasound Thoracic Spine Without Contrast","Imaging Studies","Doppler Ultrasound","93972","18850-9","363689000","Not typically used for thoracic spine imaging","imaging","DOPPLER"
"TTES-IMG-DOP-93970","Doppler Ultrasound Lumbar Spine Without Contrast","Imaging Studies","Doppler Ultrasound","93970","18848-3","363689000","Doppler ultrasound of legs to assess peripheral arterial disease","imaging","DOPPLER"
"TTES-IMG-DOP-93974","Doppler Ultrasound Sacrococcygeal Without Contrast","Imaging Studies","Doppler Ultrasound","93974","18851-7","363689000","Not typically used for sacrococcygeal imaging","imaging","DOPPLER"
"TTES-IMG-DOP-93973","Doppler Ultrasound Chest Without Contrast","Imaging Studies","Doppler Ultrasound","93973","18852-5","363689000","Rarely used; more common for cardiac applications","imaging","DOPPLER"
"TTES-IMG-DOP-76700","Doppler Ultrasound Abdomen Without Contrast","Imaging Studies","Doppler Ultrasound","76700","18842-5","363679005","Ultrasound imaging of abdominal organs including liver gallbladder spleen kidneys","imaging","DOPPLER"
"TTES-IMG-DOP-76856","Doppler Ultrasound Pelvis Without Contrast","Imaging Studies","Doppler Ultrasound","76856","18843-3","363680001","Pelvic ultrasound for evaluation of uterus ovaries and bladder","imaging","DOPPLER"
"TTES-IMG-DOP-76886a","Doppler Ultrasound Shoulder Left With Contrast","Imaging Studies","Doppler Ultrasound","76886a","18853-4","363709006","Musculoskeletal ultrasound to assess joint and tendon pathology","imaging","DOPPLER"
"TTES-IMG-DOP-76886b","Doppler Ultrasound Shoulder Right With Contrast","Imaging Studies","Doppler Ultrasound","76886b","18853-4","363709006","Musculoskeletal ultrasound to assess joint and tendon pathology","imaging","DOPPLER"
"TTES-IMG-DOP-76886c","Doppler Ultrasound Shoulder Left Without Contrast","Imaging Studies","Doppler Ultrasound","76886c","18853-4","363709006","Musculoskeletal ultrasound to assess joint and tendon pathology","imaging","DOPPLER"
"TTES-IMG-DOP-76886d","Doppler Ultrasound Shoulder Right Without Contrast","Imaging Studies","Doppler Ultrasound","76886d","18853-4","363709006","Musculoskeletal ultrasound to assess joint and tendon pathology","imaging","DOPPLER"
"TTES-IMG-CT-70450","CT Scan Brain Without Contrast","Imaging Studies","Computed Tomography","70450","24676-6","363682009","Non-contrast CT scan of brain to detect hemorrhage or acute stroke","imaging","CT SCAN"
"TTES-IMG-CT-70490","CT Scan Brain With Contrast","Imaging Studies","Computed Tomography","70490","24677-4","363727008","CT brain with contrast for enhanced lesion visualization","imaging","CT SCAN"
"TTES-IMG-CT-72126","CT Scan Cervical Spine Without Contrast","Imaging Studies","Computed Tomography","72126","24714-9","363686007","CT scan of cervical spine to evaluate fractures or instability","imaging","CT SCAN"
"TTES-IMG-CT-72127","CT Scan Cervical Spine With Contrast","Imaging Studies","Computed Tomography","72127","24715-6","363687003","Contrast CT for cervical spine vascular or inflammatory conditions","imaging","CT SCAN"
"TTES-IMG-CT-72132","CT Scan Thoracic Spine Without Contrast","Imaging Studies","Computed Tomography","72132","24716-4","363688008","CT scan of thoracic spine to assess fractures or deformities","imaging","CT SCAN"
"TTES-IMG-CT-72133","CT Scan Thoracic Spine With Contrast","Imaging Studies","Computed Tomography","72133","24717-2","363689000","Enhanced thoracic spine CT for tumor or infection detection","imaging","CT SCAN"
"TTES-IMG-CT-72138","CT Scan Lumbar Spine Without Contrast","Imaging Studies","Computed Tomography","72138","24718-0","363690007","CT scan of lumbar spine to assess stenosis or disc herniation","imaging","CT SCAN"
"TTES-IMG-CT-72139","CT Scan Lumbar Spine With Contrast","Imaging Studies","Computed Tomography","72139","24719-8","363691009","Enhanced lumbar spine CT for tumor or abscess evaluation","imaging","CT SCAN"
"TTES-IMG-CT-72140","CT Scan Sacrococcygeal Without Contrast","Imaging Studies","Computed Tomography","72140","24720-6","363692003","CT scan of sacrococcygeal region for trauma or fusion assessment","imaging","CT SCAN"
"TTES-IMG-CT-72141","CT Scan Sacrococcygeal With Contrast","Imaging Studies","Computed Tomography","72141","24721-4","363693008","Contrast-enhanced CT for sacrococcygeal tumor or infection","imaging","CT SCAN"
